Unnamed: 0,course_name,Organization,skills,rating,reviews,metadata,skills_list,level,num_reviews,popularity,combined_text
10,IBM Applied AI,IBM," Machine Learning, Deep Learning, Machine Learning Algorithms, Artificial Neural Networks, Python Programming, Cloud Computing, Computer Vision, Human Learning, IBM Cloud, Applied Machine Learning, Algorithms, Cloud API, Machine Learning Software, Natural Language Processing, Human Computer Interaction, Computer Programming, Cloud Applications, Computer Programming Tools, Application Development, Visualization (Computer Graphics), Data Analysis, Critical Thinking, Cloud-Based Integration, Software As A Service, Data Science",4.6,4.6(47K reviews),Beginner · Professional Certificate · 3 - 6 Months,"['machine learning', 'deep learning', 'machine learning algorithms', 'artificial neural networks', 'python programming', 'cloud computing', 'computer vision', 'human learning', 'ibm cloud', 'applied machine learning', 'algorithms', 'cloud api', 'machine learning software', 'natural language processing', 'human computer interaction', 'computer programming', 'cloud applications', 'computer programming tools', 'application development', 'visualization (computer graphics)', 'data analysis', 'critical thinking', 'cloud-based integration', 'software as a service', 'data science']",0.0,47000.0,0.7961947920456134,IBM Applied AI machine learning deep learning machine learning algorithms artificial neural networks python programming cloud computing computer vision human learning ibm cloud applied machine learning algorithms cloud api machine learning software natural language processing human computer interaction computer programming cloud applications computer programming tools application development visualization (computer graphics) data analysis critical thinking cloud-based integration software as a service data science
11,IBM Full Stack Software Developer,IBM," Cloud Computing, Python Programming, Cloud Applications, Computer Programming, IBM Cloud, Application Development, Cloud Infrastructure, DevOps, Web Development, Cloud Management, Cloud Platforms, Javascript, Software Architecture, Cloud API, Cloud Storage, Cloud-Based Integration, Full-Stack Web Development, Software Engineering, Continuous Delivery, Continuous Integration, Docker (Software), Software As A Service, Microarchitecture, Django (Web Framework), Database Application, Databases, Kubernetes, SQL, Software Engineering Tools, Data Management, NoSQL, Collaboration, Computer Science, Data Analysis, Front-End Web Development, Leadership and Management, Mergers & Acquisitions, React (web framework)",4.6,4.6(42K reviews),Beginner · Professional Certificate · 3 - 6 Months,"['cloud computing', 'python programming', 'cloud applications', 'computer programming', 'ibm cloud', 'application development', 'cloud infrastructure', 'devops', 'web development', 'cloud management', 'cloud platforms', 'javascript', 'software architecture', 'cloud api', 'cloud storage', 'cloud-based integration', 'full-stack web development', 'software engineering', 'continuous delivery', 'continuous integration', 'docker (software)', 'software as a service', 'microarchitecture', 'django (web framework)', 'database application', 'databases', 'kubernetes', 'sql', 'software engineering tools', 'data management', 'nosql', 'collaboration', 'computer science', 'data analysis', 'front-end web development', 'leadership and management', 'mergers & acquisitions', 'react (web framework)']",0.0,42000.0,0.786176539725725,IBM Full Stack Software Developer cloud computing python programming cloud applications computer programming ibm cloud application development cloud infrastructure devops web development cloud management cloud platforms javascript software architecture cloud api cloud storage cloud-based integration full-stack web development software engineering continuous delivery continuous integration docker (software) software as a service microarchitecture django (web framework) database application databases kubernetes sql software engineering tools data management nosql collaboration computer science data analysis front-end web development leadership and management mergers & acquisitions react (web framework)
12,Introduction to Data Science,IBM," Data Science, Python Programming, Data Analysis, Data Management, R Programming, Computer Programming, Data Mining, Data Structures, Database Administration, Database Application, Database Theory, Databases, SQL, Data Model, Machine Learning, Statistical Machine Learning, Big Data, Cloud Computing, Deep Learning, IBM Cloud, Regression, Writing",4.6,4.6(86K reviews),Beginner · Specialization · 3 - 6 Months,"['data science', 'python programming', 'data analysis', 'data management', 'r programming', 'computer programming', 'data mining', 'data structures', 'database administration', 'database application', 'database theory', 'databases', 'sql', 'data model', 'machine learning', 'statistical machine learning', 'big data', 'cloud computing', 'deep learning', 'ibm cloud', 'regression', 'writing']",0.0,86000.0,0.8500103429077875,Introduction to Data Science data science python programming data analysis data management r programming computer programming data mining data structures database administration database application database theory databases sql data model machine learning statistical machine learning big data cloud computing deep learning ibm cloud regression writing
13,Data Science Fundamentals with Python and SQL,IBM," Python Programming, Data Analysis, General Statistics, Probability & Statistics, Basic Descriptive Statistics, Statistical Analysis, Statistical Tests, Mathematical Theory & Analysis, Statistical Programming, Computer Programming, Data Visualization, Data Science, Plot (Graphics), R Programming, Data Management, Data Structures, Database Administration, Database Application, Database Theory, Databases, SQL, Cloud Computing, IBM Cloud",4.6,4.6(60K reviews),Beginner · Specialization · 3 - 6 Months,"['python programming', 'data analysis', 'general statistics', 'probability & statistics', 'basic descriptive statistics', 'statistical analysis', 'statistical tests', 'mathematical theory & analysis', 'statistical programming', 'computer programming', 'data visualization', 'data science', 'plot (graphics)', 'r programming', 'data management', 'data structures', 'database administration', 'database application', 'database theory', 'databases', 'sql', 'cloud computing', 'ibm cloud']",0.0,60000.0,0.81794514353579,Data Science Fundamentals with Python and SQL python programming data analysis general statistics probability & statistics basic descriptive statistics statistical analysis statistical tests mathematical theory & analysis statistical programming computer programming data visualization data science plot (graphics) r programming data management data structures database administration database application database theory databases sql cloud computing ibm cloud
14,IBM Data Engineering,IBM," Data Management, Databases, Database Administration, Extract, Transform, Load, Python Programming, Big Data, SQL, Apache, Database Design, Distributed Computing Architecture, Data Architecture, Database Application, NoSQL, Data Structures, Data Model, Data Warehousing, Cloud Computing, Database Theory, Data Engineering, Data Visualization, Computer Programming, IBM Cloud, Data Mining, Machine Learning, Cloud Applications, Data Analysis, Leadership and Management, Kubernetes, PostgreSQL, Devops Tools, Business Intelligence, Data Visualization Software, Linux, Network Security, Statistical Programming, Data Science",4.6,4.6(47K reviews),Beginner · Professional Certificate · 3 - 6 Months,"['data management', 'databases', 'database administration', 'extract', 'transform', 'load', 'python programming', 'big data', 'sql', 'apache', 'database design', 'distributed computing architecture', 'data architecture', 'database application', 'nosql', 'data structures', 'data model', 'data warehousing', 'cloud computing', 'database theory', 'data engineering', 'data visualization', 'computer programming', 'ibm cloud', 'data mining', 'machine learning', 'cloud applications', 'data analysis', 'leadership and management', 'kubernetes', 'postgresql', 'devops tools', 'business intelligence', 'data visualization software', 'linux', 'network security', 'statistical programming', 'data science']",0.0,47000.0,0.7961947920456134,IBM Data Engineering data management databases database administration extract transform load python programming big data sql apache database design distributed computing architecture data architecture database application nosql data structures data model data warehousing cloud computing database theory data engineering data visualization computer programming ibm cloud data mining machine learning cloud applications data analysis leadership and management kubernetes postgresql devops tools business intelligence data visualization software linux network security statistical programming data science
15,Key Technologies for Business,IBM," Algorithms, Applied Machine Learning, Artificial Neural Networks, Computer Vision, Deep Learning, Human Learning, Machine Learning, Machine Learning Algorithms, Machine Learning Software, Cloud Computing, Data Science, Critical Thinking, Big Data, Data Analysis, Data Mining, Cloud Applications, Cloud Infrastructure, Cloud Platforms, Cloud Storage, DevOps, IBM Cloud, Regression, Writing",4.7,4.7(83K reviews),Beginner · Specialization · 1 - 3 Months,"['algorithms', 'applied machine learning', 'artificial neural networks', 'computer vision', 'deep learning', 'human learning', 'machine learning', 'machine learning algorithms', 'machine learning software', 'cloud computing', 'data science', 'critical thinking', 'big data', 'data analysis', 'data mining', 'cloud applications', 'cloud infrastructure', 'cloud platforms', 'cloud storage', 'devops', 'ibm cloud', 'regression', 'writing']",0.0,83000.0,0.8687796795822199,Key Technologies for Business algorithms applied machine learning artificial neural networks computer vision deep learning human learning machine learning machine learning algorithms machine learning software cloud computing data science critical thinking big data data analysis data mining cloud applications cloud infrastructure cloud platforms cloud storage devops ibm cloud regression writing
16,IBM & Darden Digital Strategy,University of Virginia Darden School Foundation," Business Analysis, Business Transformation, Strategy, Cloud Computing, Data Analysis, Strategy and Operations, Applied Machine Learning, Entrepreneurship, Leadership and Management, Algorithms, Artificial Neural Networks, Computer Vision, Deep Learning, Human Learning, Innovation, Machine Learning, Machine Learning Algorithms, Machine Learning Software, Marketing, Sales, Data Visualization, Research and Design, Critical Thinking, Business Design, Business Development, Customer Analysis, Product Strategy, Market Analysis, Data Management, Data Mining, Databases, Python Programming, SQL, Cloud Applications, Cloud Infrastructure, Cloud Platforms, Cloud Storage, Data Science, DevOps, IBM Cloud, NoSQL, R Programming, Microsoft Excel",4.7,4.7(30K reviews),Beginner · Specialization · 3 - 6 Months,"['business analysis', 'business transformation', 'strategy', 'cloud computing', 'data analysis', 'strategy and operations', 'applied machine learning', 'entrepreneurship', 'leadership and management', 'algorithms', 'artificial neural networks', 'computer vision', 'deep learning', 'human learning', 'innovation', 'machine learning', 'machine learning algorithms', 'machine learning software', 'marketing', 'sales', 'data visualization', 'research and design', 'critical thinking', 'business design', 'business development', 'customer analysis', 'product strategy', 'market analysis', 'data management', 'data mining', 'databases', 'python programming', 'sql', 'cloud applications', 'cloud infrastructure', 'cloud platforms', 'cloud storage', 'data science', 'devops', 'ibm cloud', 'nosql', 'r programming', 'microsoft excel']",0.0,30000.0,0.776169076402061,IBM & Darden Digital Strategy business analysis business transformation strategy cloud computing data analysis strategy and operations applied machine learning entrepreneurship leadership and management algorithms artificial neural networks computer vision deep learning human learning innovation machine learning machine learning algorithms machine learning software marketing sales data visualization research and design critical thinking business design business development customer analysis product strategy market analysis data management data mining databases python programming sql cloud applications cloud infrastructure cloud platforms cloud storage data science devops ibm cloud nosql r programming microsoft excel
17,Deep Learning,DeepLearning.AI," Machine Learning, Deep Learning, Artificial Neural Networks, Machine Learning Algorithms, Applied Machine Learning, Python Programming, Machine Learning Software, Network Model, Algorithms, Computer Programming, Computer Vision, Network Architecture, Natural Language Processing, Tensorflow, Human Learning, Data Analysis, Data Model, Exploratory Data Analysis, Organizational Development, Process Analysis, Strategy, Computational Logic, Mathematics, Mathematical Theory & Analysis, Linear Algebra, Regression, Calculus",4.8,4.8(142K reviews),Intermediate · Specialization · 3 - 6 Months,"['machine learning', 'deep learning', 'artificial neural networks', 'machine learning algorithms', 'applied machine learning', 'python programming', 'machine learning software', 'network model', 'algorithms', 'computer programming', 'computer vision', 'network architecture', 'natural language processing', 'tensorflow', 'human learning', 'data analysis', 'data model', 'exploratory data analysis', 'organizational development', 'process analysis', 'strategy', 'computational logic', 'mathematics', 'mathematical theory & analysis', 'linear algebra', 'regression', 'calculus']",1.0,142000.0,0.9406203544955619,Deep Learning machine learning deep learning artificial neural networks machine learning algorithms applied machine learning python programming machine learning software network model algorithms computer programming computer vision network architecture natural language processing tensorflow human learning data analysis data model exploratory data analysis organizational development process analysis strategy computational logic mathematics mathematical theory & analysis linear algebra regression calculus
18,Data Engineering Foundations,IBM," Data Management, Python Programming, Data Structures, Databases, Data Engineering, Database Application, SQL, Database Administration, Database Design, Extract, Transform, Load, Computer Programming, Data Architecture, Database Theory, Data Mining, Data Model, Data Analysis, Leadership and Management, Data Warehousing, PostgreSQL, Big Data, IBM Cloud, Network Security, NoSQL, Cloud Computing, Data Science",4.6,4.6(46K reviews),Beginner · Specialization · 3 - 6 Months,"['data management', 'python programming', 'data structures', 'databases', 'data engineering', 'database application', 'sql', 'database administration', 'database design', 'extract', 'transform', 'load', 'computer programming', 'data architecture', 'database theory', 'data mining', 'data model', 'data analysis', 'leadership and management', 'data warehousing', 'postgresql', 'big data', 'ibm cloud', 'network security', 'nosql', 'cloud computing', 'data science']",0.0,46000.0,0.7942792633182971,Data Engineering Foundations data management python programming data structures databases data engineering database application sql database administration database design extract transform load computer programming data architecture database theory data mining data model data analysis leadership and management data warehousing postgresql big data ibm cloud network security nosql cloud computing data science
19,Applied Data Science,IBM," Python Programming, Data Analysis, Machine Learning, Algorithms, Computer Programming, Data Science, Data Visualization, Exploratory Data Analysis, General Statistics, Machine Learning Algorithms, Plot (Graphics), Probability & Statistics, Regression, Statistical Programming",4.6,4.6(49K reviews),Beginner · Specialization · 3 - 6 Months,"['python programming', 'data analysis', 'machine learning', 'algorithms', 'computer programming', 'data science', 'data visualization', 'exploratory data analysis', 'general statistics', 'machine learning algorithms', 'plot (graphics)', 'probability & statistics', 'regression', 'statistical programming']",0.0,49000.0,0.7999065254535165,Applied Data Science python programming data analysis machine learning algorithms computer programming data science data visualization exploratory data analysis general statistics machine learning algorithms plot (graphics) probability & statistics regression statistical programming
20,IBM Back-End Development,IBM," Application Development, Software Engineering, Python Programming, Computer Programming, Software Architecture, DevOps, Software Engineering Tools, Cloud Applications, Cloud Computing, Security Engineering, Programming Principles, Web Development, Cloud Infrastructure, Cloud-Based Integration, Microarchitecture, Agile Software Development, Communication, IBM Cloud, Kubernetes, Software Security, Data Management, Database Application, Databases, Docker (Software), Linux, SQL, Software-Defined Networking, Technical Product Management, Collaboration, Django (Web Framework), Leadership and Management, Data Analysis, Mergers & Acquisitions",4.6,4.6(37K reviews),Beginner · Professional Certificate · 3 - 6 Months,"['application development', 'software engineering', 'python programming', 'computer programming', 'software architecture', 'devops', 'software engineering tools', 'cloud applications', 'cloud computing', 'security engineering', 'programming principles', 'web development', 'cloud infrastructure', 'cloud-based integration', 'microarchitecture', 'agile software development', 'communication', 'ibm cloud', 'kubernetes', 'software security', 'data management', 'database application', 'databases', 'docker (software)', 'linux', 'sql', 'software-defined networking', 'technical product management', 'collaboration', 'django (web framework)', 'leadership and management', 'data analysis', 'mergers & acquisitions']",0.0,37000.0,0.7748869798274937,IBM Back-End Development application development software engineering python programming computer programming software architecture devops software engineering tools cloud applications cloud computing security engineering programming principles web development cloud infrastructure cloud-based integration microarchitecture agile software development communication ibm cloud kubernetes software security data management database application databases docker (software) linux sql software-defined networking technical product management collaboration django (web framework) leadership and management data analysis mergers & acquisitions
21,IBM AI Foundations for Business,IBM," Machine Learning, Data Analysis, Applied Machine Learning, Data Management, Leadership and Management, Machine Learning Algorithms, Algorithms, Artificial Neural Networks, Business Process Management, Computer Vision, Data Architecture, Deep Learning, Human Learning, Machine Learning Software, Data Science, Strategy and Operations, Critical Thinking, Business Analysis, Business Transformation, Strategy, Big Data, Data Mining, Innovation, Regression, Writing",4.7,4.7(78K reviews),Beginner · Specialization · 1 - 3 Months,"['machine learning', 'data analysis', 'applied machine learning', 'data management', 'leadership and management', 'machine learning algorithms', 'algorithms', 'artificial neural networks', 'business process management', 'computer vision', 'data architecture', 'deep learning', 'human learning', 'machine learning software', 'data science', 'strategy and operations', 'critical thinking', 'business analysis', 'business transformation', 'strategy', 'big data', 'data mining', 'innovation', 'regression', 'writing']",0.0,78000.0,0.8631253299988267,IBM AI Foundations for Business machine learning data analysis applied machine learning data management leadership and management machine learning algorithms algorithms artificial neural networks business process management computer vision data architecture deep learning human learning machine learning software data science strategy and operations critical thinking business analysis business transformation strategy big data data mining innovation regression writing
22,IBM Data Analytics with Excel and R,IBM," Data Analysis, R Programming, Computer Programming, Data Visualization, Data Management, Statistical Programming, Databases, Plot (Graphics), Exploratory Data Analysis, Statistical Visualization, Data Analysis Software, Data Structures, Statistical Analysis, Microsoft Excel, SQL, Basic Descriptive Statistics, General Statistics, Interactive Data Visualization, Database Application, Extract, Transform, Load, Spreadsheet Software, Visualization (Computer Graphics), Programming Principles, Regression, Database Administration, Database Design, Database Theory, Computer Programming Tools, Data Mining, Data Visualization Software, Statistical Machine Learning, Visual Design, Probability & Statistics, System Programming, Business Analysis, Python Programming, Data Science, NoSQL",4.7,4.7(20K reviews),Beginner · Professional Certificate · 3 - 6 Months,"['data analysis', 'r programming', 'computer programming', 'data visualization', 'data management', 'statistical programming', 'databases', 'plot (graphics)', 'exploratory data analysis', 'statistical visualization', 'data analysis software', 'data structures', 'statistical analysis', 'microsoft excel', 'sql', 'basic descriptive statistics', 'general statistics', 'interactive data visualization', 'database application', 'extract', 'transform', 'load', 'spreadsheet software', 'visualization (computer graphics)', 'programming principles', 'regression', 'database administration', 'database design', 'database theory', 'computer programming tools', 'data mining', 'data visualization software', 'statistical machine learning', 'visual design', 'probability & statistics', 'system programming', 'business analysis', 'python programming', 'data science', 'nosql']",0.0,20000.0,0.7392704765839705,IBM Data Analytics with Excel and R data analysis r programming computer programming data visualization data management statistical programming databases plot (graphics) exploratory data analysis statistical visualization data analysis software data structures statistical analysis microsoft excel sql basic descriptive statistics general statistics interactive data visualization database application extract transform load spreadsheet software visualization (computer graphics) programming principles regression database administration database design database theory computer programming tools data mining data visualization software statistical machine learning visual design probability & statistics system programming business analysis python programming data science nosql
23,Data Analysis and Visualization Foundations,IBM," Microsoft Excel, Data Visualization, Spreadsheet Software, Data Analysis, Plot (Graphics), Databases, Python Programming, SQL, Statistical Visualization, Business Analysis, Data Management, Data Mining, Data Science, Interactive Data Visualization, NoSQL, R Programming, Data Visualization Software",4.7,4.7(20K reviews),Beginner · Specialization · 3 - 6 Months,"['microsoft excel', 'data visualization', 'spreadsheet software', 'data analysis', 'plot (graphics)', 'databases', 'python programming', 'sql', 'statistical visualization', 'business analysis', 'data management', 'data mining', 'data science', 'interactive data visualization', 'nosql', 'r programming', 'data visualization software']",0.0,20000.0,0.7392704765839705,Data Analysis and Visualization Foundations microsoft excel data visualization spreadsheet software data analysis plot (graphics) databases python programming sql statistical visualization business analysis data management data mining data science interactive data visualization nosql r programming data visualization software
24,Applied Software Engineering Fundamentals,IBM," Python Programming, Computer Programming, Software Engineering, Application Development, Programming Principles, Software Architecture, Software Engineering Tools, Agile Software Development, Communication, Software-Defined Networking, Technical Product Management, Collaboration, Leadership and Management, Linux, Data Analysis, Mergers & Acquisitions",4.6,4.6(37K reviews),Beginner · Specialization · 3 - 6 Months,"['python programming', 'computer programming', 'software engineering', 'application development', 'programming principles', 'software architecture', 'software engineering tools', 'agile software development', 'communication', 'software-defined networking', 'technical product management', 'collaboration', 'leadership and management', 'linux', 'data analysis', 'mergers & acquisitions']",0.0,37000.0,0.7748869798274937,Applied Software Engineering Fundamentals python programming computer programming software engineering application development programming principles software architecture software engineering tools agile software development communication software-defined networking technical product management collaboration leadership and management linux data analysis mergers & acquisitions
25,Prompt Engineering,Vanderbilt University," Creativity, Data Analysis, Problem Solving, Writing",4.8,4.8(2.1K reviews),Beginner · Specialization · 1 - 3 Months,"['creativity', 'data analysis', 'problem solving', 'writing']",0.0,2100.0,0.5490115458117106,Prompt Engineering creativity data analysis problem solving writing
